NAME,SECTION,MEET,DAY,START,FINISH,NOTES
ACT460H1F,LEC 01,1,Tue,14:00,17:00,
AER210H1F,LEC 01,1,Mon,12:00,13:00,
AER210H1F,,1,Mon,12:00,13:00,
AER210H1F,,2,Wed,12:00,13:00,
AER210H1F,,2,Wed,12:00,13:00,
AER210H1F,,3,Fri,12:00,13:00,
AER210H1F,,3,Fri,12:00,13:00,
AER210H1F,LEC 02,1,Mon,11:00,12:00,
AER210H1F,,1,Mon,11:00,12:00,
AER210H1F,,2,Wed,11:00,12:00,
AER210H1F,,2,Wed,11:00,12:00,
AER210H1F,,3,Fri,11:00,12:00,
AER210H1F,,3,Fri,11:00,12:00,
AER210H1F,PRA 01,1,Wed,9:00,12:00,2
AER210H1F,PRA 02,1,Wed,9:00,12:00,2
AER210H1F,PRA 03,1,Wed,14:00,17:00,2
AER210H1F,PRA 04,1,Wed,14:00,17:00,2
AER210H1F,TUT 01,1,Fri,15:00,16:00,
AER210H1F,,2,Wed,17:00,18:00,
AER210H1F,TUT 02,1,Fri,15:00,16:00,
AER210H1F,,2,Wed,17:00,18:00,
AER210H1F,TUT 03,1,Fri,15:00,16:00,
AER210H1F,,2,Wed,17:00,18:00,
AER210H1F,TUT 04,1,Fri,16:00,17:00,
AER210H1F,,2,Wed,17:00,18:00,
AER210H1F,TUT 05,1,Fri,16:00,17:00,
AER210H1F,,2,Wed,17:00,18:00,
AER210H1F,TUT 06,1,Fri,16:00,17:00,
AER210H1F,,2,Wed,17:00,18:00,
AER301H1F,LEC 01,1,Mon,12:00,14:00,
AER301H1F,,2,Thu,11:00,12:00,
AER301H1F,TUT 01,1,Thu,12:00,13:00,
AER303H1F,PRA 01,1,Tue,14:00,15:00,
AER307H1F,LEC 01,1,Mon,15:00,17:00,
AER307H1F,,2,Fri,10:00,11:00,
AER307H1F,TUT 01,1,Fri,11:00,12:00,
AER315H1F,LEC 01,1,Wed,14:00,16:00,
AER315H1F,,2,Tue,11:00,12:00,
AER315H1F,TUT 01,1,Tue,12:00,13:00,
AER407H1F,PRA 01,1,Fri,13:00,16:00,
AER501H1F,LEC 01,1,Mon,9:00,11:00,
AER501H1F,,2,Wed,13:00,14:00,
AER501H1F,TUT 01,1,Wed,14:00,15:00,
AER506H1F,LEC 01,1,Thu,9:00,10:00,
AER506H1F,,2,Mon,13:00,15:00,
AER506H1F,TUT 01,1,Thu,10:00,11:00,
AER507H1F,LEC 01,1,Wed,15:00,17:00,
AER507H1F,,2,Thu,12:00,13:00,
AER507H1F,TUT 01,1,Thu,13:00,14:00,
AER525H1F,LEC 01,1,Fri,9:00,10:00,
AER525H1F,,2,Tue,11:00,13:00,
AER525H1F,PRA 01,1,Wed,9:00,12:00,2
AER525H1F,PRA 02,1,Mon,16:00,19:00,1
AER525H1F,TUT 01,1,Fri,10:00,11:00,
APM384H1F,LEC 01,1,Mon,10:00,12:00,
APM384H1F,,2,Wed,11:00,12:00,
APM384H1F,TUT 01,1,Wed,10:00,11:00,
APM384H1F,TUT 02,1,Tue,17:00,18:00,
APS105H1F,LEC 01,1,Mon,14:00,15:00,
APS105H1F,,2,Wed,14:00,15:00,
APS105H1F,,3,Thu,14:00,15:00,
APS105H1F,LEC 02,1,Mon,9:00,10:00,
APS105H1F,,2,Wed,9:00,10:00,
APS105H1F,,3,Fri,13:00,14:00,
APS105H1F,LEC 03,1,Mon,11:00,12:00,
APS105H1F,,2,Wed,11:00,12:00,
APS105H1F,,3,Thu,11:00,12:00,
APS105H1F,LEC 04,1,Mon,11:00,12:00,
APS105H1F,,2,Wed,11:00,12:00,
APS105H1F,,3,Thu,11:00,12:00,
APS105H1F,LEC 05,1,Mon,16:00,17:00,
